priority,priority_ua,severity,points,note
1,Текст,none,0,"текст без жодного маркера — фонова заявка"
1,Текст,safe,0,"звичайне питання, подяка, нейтральне повідомлення"
1,Текст,attention,8,"скарга на якість, невдоволення термінами, роздратування без згадки ОСББ/суду/колективних дій"
1,Текст,trigger,15,"згадка ОСББ у контексті наміру; погроза судом/прокуратурою/колективною скаргою/зборами; звернення від імені групи"
2,Оцінка,none,0,
2,Оцінка,safe,0,"оцінка 3-5 — за матрицею Макса пасивна дія, у скор не входить"
2,Оцінка,attention,4,"оцінка 1-2 без коментаря або з коментарем рівня attention"
2,Оцінка,trigger,10,"оцінка 1 з коментарем, у якому спрацював trigger-маркер"
3,Дії,none,0,
3,Дії,safe,0,"регулярне погашення боргу, оплата після першого push"
3,Дії,attention,2,"друга оплата «Електроенергії»; несплата нарахування у 2 квитанціях"
3,Дії,trigger,5,"оплата «Електроенергії» 3+ разів; несплата нарахування у 3+ квитанціях; спам заявками"
