error_kind,error_class,label_ua,hint_ua
app_failure,app,Екран «Щось пішло не так»,Загальний екран помилки застосунку. Найпряміша ознака збою: людина не змогла зробити нічого.
no_internet,app,Немає зʼєднання,"Екран «немає інтернету». Частина — мережа самої людини, але сплеск на ОДНІЙ версії означає проблему на нашому боці."
payment_fail,app,Оплата не пройшла,"Поп-ап невдалої оплати квитанції. Єдина помилка в списку, яка одразу коштує грошей."
service_unavailable,app,Послуга недоступна,"Натиск на послугу, якої в цьому ЖК немає. Питання до конфігурації, а не до застосунку."
access_denied,access,Доступ заборонено,"Екран відмови в доступі: або права не налаштовані, або приміщення відвʼязали, а людина лишилась."
not_registered,access,Номер не зареєстрований,"Людина намагається увійти, а номера немає в базі. Це сигнал ПІДКЛЮЧЕННЯ, не технічний збій: у ці цифри треба дивитись операційці, а не розробці."
auth_pin,auth,Невірний PIN,"Помилка введення PIN — і при вході, і при створенні (повтор не збігся)."
auth_pin_locked,auth,Три невдалі спроби PIN,Поп-ап «забули PIN» після трьох помилок поспіль. Ескалація попереднього рядка: людина вже не просто помилилась.
auth_code,auth,Невірний код із SMS,
auth_rate_limit,auth,Код уже надіслано,"Повторний запит коду до кінця паузи. Сам по собі не поломка, але масовий сплеск = SMS не доходять."
auth_number,auth,Невірний формат номера,
biometric,auth,Помилка біометрії,"Не плутати з «технічним тертям біометрії» нижче: там поп-ап не зʼявився, тут — зʼявився і впав."
